,,,Validation Dataset,,,,,,Probability of being Plankton,,,,TSNE coordinates per model,,,,,,,,
,,,File,Ground Truth,Simple Model,MobileNet,DenseNet,Inception Resnet,Simple Model,MobileNet,DenseNet,Inception Resnet,simple_model_x,simple_model_y,mobilenet_x,mobilenet_y,densenet_x,densenet_y,inception_resnet_x,inception_resnet_y,Wrong classifications
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_631_2017-09-21_18_07_51.879_1253_1376.png,Detritus,N,N,N,N,0.76828593,0.99650335,0.83479977,0.7889634,-8.681008,26.934053,29.411488,-62.21343,-34.473587,43.714664,36.685272,26.818043,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_686_2017-09-29_12_04_58.884_1092_853.png,Detritus,N,N,N,N,0.85486114,0.99451846,0.66203207,0.92608017,11.227964,-8.941853,38.560986,-22.528223,-39.437138,39.99394,25.29202,-28.478151,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_262_2017-09-21_18_18_59.744_1789_1641.png,Detritus,N,N,N,N,0.97991735,0.9748674,0.98483455,0.6383231,40.869423,-12.848454,14.264,-52.816414,0.59690243,36.90291,-44.128674,-16.527056,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_686_2017-09-27_05_55_28.248_349_1413.png,Detritus,N,N,N,N,0.77039933,0.7379887,0.9641578,0.7174431,7.8914356,-13.377048,10.052073,-55.38965,18.281477,-28.621767,-20.547935,-49.536823,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_383_2017-09-17_16_58_22.104_919_252.png,Detritus,N,N,N,N,0.9999721,0.9879517,0.99995637,0.9822801,69.90064,15.202053,54.62519,60.029312,-14.952158,-45.693684,48.998604,48.675987,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_786_2017-09-22_03_57_39.662_374_352.png,Detritus,N,N,N,N,0.6266655,0.86467284,0.899467,0.8537921,11.934633,-12.094148,-15.189608,-61.43083,5.060496,10.458961,-20.695976,4.8760867,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_105_2017-09-19_05_15_40.665_1074_121.png,Detritus,N,N,N,N,0.6467466,0.8118392,0.62492126,0.9353713,9.102494,-12.439179,6.111478,-53.30898,26.502232,-17.499495,32.81639,-33.631844,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_695_2017-09-20_18_56_48.413_944_904.png,Detritus,N,N,N,N,0.77868277,0.94359535,0.9904716,0.5950526,-2.175006,-15.504279,17.206554,-47.74356,11.478875,-38.42212,-3.0002007,17.231932,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_686_2017-09-20_23_57_16.170_1936_1616.png,Detritus,N,N,N,N,0.9494269,0.9881343,0.9984855,0.8507837,24.10915,-18.903967,36.56198,-54.213,-0.44208157,39.18369,-23.825169,-5.8651037,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_913_2017-09-20_23_46_08.531_537_854.png,Detritus,N,N,N,N,0.90044224,0.61125576,0.99119383,0.9314715,50.470066,-26.252996,21.536638,-34.755005,-0.85087854,37.270744,-12.529158,-19.217892,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_255_2017-09-23_00_10_41.055_1607_436.png,Detritus,N,N,N,N,0.97953475,0.98362374,0.6938043,0.54665947,18.555416,14.367312,49.343605,-4.389547,-21.125607,48.84548,34.65508,50.083206,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_687_2017-09-24_06_02_23.018_667_0.png,Detritus,N,N,N,N,0.6175482,0.57200897,0.59244335,0.963129,-17.172142,23.355476,-15.96172,-64.044075,8.900843,20.718376,47.267864,-26.415758,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_483_2017-09-17_08_52_09.774_249_1532.png,Detritus,N,N,N,N,0.987949,0.9972549,1,0.99921346,103.662,-5.592868,64.92651,31.758755,32.89727,-62.04998,23.10953,-45.489845,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_153_2017-09-19_08_25_56.024_1115_1713.png,Detritus,N,N,N,N,0.99982387,0.89118624,0.9999981,0.822879,45.20148,4.7206607,10.142715,-51.00416,15.363407,0.7912988,40.008434,-45.535095,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_254_2017-09-23_00_10_41.055_1318_473.png,Detritus,N,N,N,N,0.5688107,0.9842589,0.9676147,0.65280193,18.512352,14.34641,54.35303,-5.070125,-21.114431,48.792892,34.56041,50.00469,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_897_2017-09-23_00_10_41.055_0_617.png,Detritus,N,N,N,N,0.7131506,0.96730596,0.9337899,0.82199645,-2.476607,-10.052902,3.7822025,-60.307854,15.295339,-1.6353323,39.16293,-11.647463,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_149_2017-09-19_06_40_13.568_789_690.png,Detritus,N,N,N,N,0.9983998,0.98266786,0.9931815,0.98404783,95.81885,-14.587973,58.910854,-2.126513,25.072126,-20.462286,-0.5385849,-63.1664,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_8_2017-09-21_15_32_03.701_1526_705.png,Detritus,N,N,N,N,0.9957093,0.9734327,0.87025887,0.92745674,68.16512,-15.716236,51.034245,-6.0756626,16.514668,22.393534,11.419419,-17.528494,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_667_2017-09-21_20_21_24.131_854_215.png,Detritus,N,N,N,N,0.96287286,0.98908675,0.9997316,0.99555075,87.53945,-12.755414,48.41287,-18.178057,27.110466,-63.420036,14.934163,-32.85332,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_464_2017-09-21_06_49_00.820_1748_5.png,Detritus,N,N,N,N,0.9561145,0.9817338,0.9278222,0.9144312,42.582558,-19.102608,42.373184,-26.194748,27.583162,-26.003105,-4.6329737,-52.831474,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_191_2017-09-16_11_01_32.735_1810_799.png,Detritus,N,N,N,N,0.50683355,0.92704874,0.9385808,0.75526565,-25.097075,17.529184,-0.3429994,-41.618515,-27.691917,41.475674,33.206207,44.425632,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_675_2017-09-21_04_46_36.462_15_599.png,Detritus,N,N,N,N,0.96628714,0.99223024,0.9609749,0.88447744,39.848373,-20.618164,23.413578,-51.506596,51.30006,-2.505711,10.525863,-16.268139,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_906_2017-09-22_18_03_26.967_320_698.png,Detritus,N,N,N,N,0.9995192,0.9761763,0.9999608,0.93897957,37.951233,8.269336,53.117123,9.663912,-15.800063,-43.8091,47.375137,45.478786,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_686_2017-09-22_03_57_39.662_16_1414.png,Detritus,N,N,N,N,0.720231,0.9844118,0.9319356,0.9044165,5.653006,2.9186895,28.554821,-56.065914,3.6206126,-7.8311605,-20.139843,-34.396374,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_801_2017-09-24_11_58_30.642_1240_1966.png,Detritus,N,N,N,N,0.51850295,0.71860117,0.9064602,0.54298794,-31.134642,56.325443,-19.709911,-46.221745,-10.578101,41.036594,35.377167,32.65241,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_798_2017-09-20_23_46_08.531_550_1716.png,Detritus,N,N,N,N,0.603949,0.96565264,0.907949,0.8958691,14.0617895,-10.7100935,14.7339115,-51.035126,16.167866,16.660246,3.06959,-10.898285,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_468_2017-09-19_12_18_28.114_582_1154.png,Detritus,N,N,N,N,0.8862935,0.9077486,0.6320168,0.90279543,7.2068114,-10.270037,7.6219172,-51.68306,37.774216,-24.280096,-7.963075,-67.25168,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_280_2017-09-26_13_58_27.272_594_980.png,Detritus,N,N,N,N,0.56014353,0.60936505,0.58718187,0.5293731,5.49199,-12.738926,-5.4592257,-57.716583,26.307623,-17.298222,-1.9333789,-51.18124,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_102_2017-09-19_06_19_05.639_857_211.png,Detritus,N,N,N,N,0.875242,0.7598183,0.98887396,0.73379487,24.359873,-14.656553,-7.462569,-54.509056,32.027847,-32.711975,-2.7823784,-73.642204,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_988_2017-09-20_15_36_29.632_1567_591.png,Detritus,N,N,N,N,0.9802762,0.98082834,0.8590839,0.83052105,90.167595,-5.351624,53.955482,-15.316595,32.351498,-33.038097,-12.162606,-60.349026,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_342_2017-09-19_03_08_50.128_1436_395.png,Detritus,N,N,N,N,0.9039768,0.9615355,0.9996753,0.69113636,13.605049,-14.283846,-12.084498,-58.93677,26.49692,-21.634504,20.793922,-33.325718,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_907_2017-09-20_15_36_29.632_602_1920.png,Detritus,N,N,N,N,0.9800235,0.983061,0.9378374,0.8124221,3.8424022,-18.615898,24.725935,-46.57049,-11.688737,-16.570135,-38.664265,-23.648184,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_945_2017-09-21_00_08_23.959_798_1127.png,Detritus,N,N,N,N,0.87496626,0.97388023,0.9990938,0.890281,59.281067,-14.480657,57.475403,-13.416195,29.049282,-48.21207,11.76162,-36.749924,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_797_2017-09-22_03_57_39.662_785_414.png,Detritus,N,N,N,N,0.7809401,0.89520156,0.9814865,0.9080861,8.583318,-12.709057,-3.480854,-59.116417,23.306625,23.829782,22.39047,-31.61182,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_374_2017-09-16_01_09_39.011_849_301.png,Detritus,N,N,N,N,0.9922889,0.8939708,0.9645577,0.9975491,32.9448,-3.6165977,18.473663,-43.873684,11.342854,-21.63138,21.955076,-29.609535,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_938_2017-09-21_00_08_23.959_483_1708.png,Detritus,N,N,N,N,0.9457801,0.98364496,0.88793635,0.94444716,-20.247702,43.133907,-1.1969529,-45.967564,15.520499,39.30938,13.048305,59.78443,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_631_2017-09-27_00_10_30.061_767_409.png,Detritus,N,N,N,N,0.7850521,0.7471888,0.9236421,0.5696174,-21.685703,56.974625,-25.699856,-71.3298,-11.363417,32.506905,47.845505,16.86723,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_976_2017-09-20_15_36_29.632_324_1370.png,Detritus,N,N,N,N,0.74563766,0.5616933,0.89687604,0.5129405,-23.592522,15.457759,-28.205622,-41.02242,-41.612442,42.095215,37.401314,49.59973,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_635_2017-09-27_00_10_30.061_1087_56.png,Detritus,N,N,N,N,0.71980673,0.99625516,0.9753582,0.81156135,-14.147838,34.171215,-7.56259,-58.32165,51.615574,0.04705163,29.457859,-13.347419,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_982_2017-09-20_15_36_29.632_926_1372.png,Detritus,N,N,N,N,0.86116123,0.8133527,0.9658594,0.9084312,3.3395145,0.25704712,-19.451616,-56.04056,2.3430111,-18.250841,25.802256,-9.015707,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_270_2017-09-26_18_03_15.775_65_253.png,Detritus,N,N,N,N,0.78906393,0.98946244,0.6233947,0.85927474,34.09903,2.331529,44.623795,-26.23292,9.018856,27.9498,-6.7019434,-26.075872,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_903_2017-09-21_12_00_37.243_1942_64.png,Detritus,N,N,N,N,0.8301377,0.52888864,0.7643876,0.75593674,-4.1010666,38.438625,-29.449232,-60.118282,2.5974905,-9.779883,-14.977746,14.026488,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_686_2017-09-23_06_06_47.168_0_921.png,Detritus,N,N,N,N,0.8780097,0.9015511,0.7424246,0.6017471,-5.7401066,12.0537,-0.15070863,-39.505455,-39.93734,41.62984,34.702103,52.420776,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_120_2017-09-18_23_58_35.584_1403_690.png,Detritus,N,N,N,N,0.97924155,0.96182656,0.9999819,0.9522466,40.540485,-11.738494,62.88111,-18.582895,11.558327,-49.344006,2.5437527,-32.969795,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_801_2017-09-20_17_38_54.681_651_1678.png,Detritus,N,N,N,N,0.9943621,0.98791146,0.977759,0.97423077,47.20755,-1.7184706,25.546963,-41.537663,7.837126,-18.824074,27.803335,-14.9562025,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_201_2017-09-21_06_15_38.060_957_952.png,Detritus,N,N,N,N,0.9981674,0.99377877,0.9993075,0.9858789,88.82931,-12.092245,54.38649,-7.6598554,48.077877,-5.0146894,21.438948,-56.40242,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_235_2017-09-17_21_54_18.614_537_76.png,Detritus,N,N,N,N,0.6184649,0.94541043,0.85550934,0.9376324,17.909842,-15.187151,4.8914456,-53.296368,42.27791,-21.560375,4.8088374,-61.36153,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_474_2017-09-16_21_56_51.690_946_1341.png,Detritus,N,N,N,N,0.99187624,0.9874507,0.979939,0.88364387,25.8121,9.090143,48.70242,-1.7874432,-15.46745,-44.15657,47.7271,45.989037,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_258_2017-09-20_18_01_09.974_526_23.png,Detritus,N,N,N,N,0.8695044,0.83713186,0.98803174,0.7936188,32.451233,-15.468072,-3.3744905,-55.33085,27.489485,-23.822878,9.049955,-30.318176,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_457_2017-09-21_22_57_12.103_1309_335.png,Detritus,N,N,N,N,0.86468637,0.9396081,0.83200836,0.96011406,70.8053,-9.554676,46.82109,-27.098845,17.785843,-31.490953,-20.866695,-36.145836,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_241_2017-09-21_07_33_31.746_273_1211.png,Detritus,N,N,N,N,0.99591124,0.9989404,0.9989543,0.9593447,107.28971,4.099646,59.87428,14.230093,34.29338,-47.20181,-38.252865,-37.730026,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_911_2017-09-20_23_57_16.170_0_1435.png,Detritus,N,N,N,N,0.7775015,0.59112734,0.8489859,0.56556207,-10.6618395,29.964834,-10.047363,-58.649403,24.490042,3.2215202,-5.1713114,-15.0610695,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_667_2017-09-21_08_06_54.700_1673_855.png,Detritus,N,N,N,N,0.9362931,0.78971064,0.9999906,0.9960156,61.782352,-14.019622,68.34114,-1.98621,22.596514,-34.75806,-27.310217,-41.140335,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_274_2017-09-18_01_04_34.024_854_1449.png,Detritus,N,N,N,N,0.9671984,0.89014,0.9955285,0.92489845,22.65229,-5.2011003,18.234474,-41.590603,22.615198,-34.574635,-9.014269,-44.437115,4
,,,../../Detritus/Dataset-Detritus-Bubble/val/Detritus/frame_42_2017-09-19_12_18_28.114_1294_140.png,Detritus,N,N,N,N,0.76317173,0.91754013,0.5472368,0.6171112,-3.7125297,-15.842905,5.043577,-64.89627,-11.693765,-15.383,-36.22091,-27.721426,4
